year,short-title,author
2021,Pandemic ,Sonia Shah
2021,Civilizing Torture ,W. Fitzhugh Brundage
2021,What Tech Calls Thinking ,Adrian Daub
2021,Making the Unequal Metropolis ,Ansley T. Erickson
2021,Vision or Mirage ,David Rundell
2020,The Genius of Birds ,Jennifer Ackerman
2020,The Lost City of the Monkey God ,Douglas Preston
2020,Limits of the Known ,David Roberts
2020,There There ,Tommy Orange
2020,How to be an Antiracist ,Ibram X. Kendi
2020,The End of the Myth ,Greg Grandin
2020,Solitary ,Albert Woodfox
2020,Sweet Taste of Liberty ,W. Caleb McDaniel
2020,Factfulness ,Hans Rosling
2019,~ The Gulf ,Jack E. Davis
2019,Continental Divide ,Maurice Isserman
2019,The Martian Chronicles ,Ray Bradbury
2019,Innumeracy ,John Allen Paulos
2019,Continental Divide ,Maurice Isserman
2019,Strangers in Their Own Land ,Arlie Russell Hochschild
2019,What Doesn't Kill Us ,Scott Carney
2019,Eiger Dreams ,Jon Krakauer
2019,The Other Slavery ,Andrés Reséndez
2019,Sprawlball ,Kirk Goldsberry
2019,Survival Math ,Michell S. Jackson
2019,Cribsheet ,Emily Oster
2019,The MVP Machine ,Ben Lindbergh & Travis Sawchik
2019,The Line Becomes a River ,Francisco Cantú
2019,Amity and Prosperity ,Eliza Griswold
2019,Redeployment ,Phil Klay
2019,Leadership ,Doris Kearns Goodwin
2019,Quick and the Dead ,Pavel Tsatsouline
2019,The Nature Fix ,Florence Williams
2019,This Republic of Suffering ,Drew Gilpin Faust
2019,Waterman ,David Davis
2019,Ratio ,Michael Ruhlman
2019,Eruption ,Steve Olson
2019,Dopesick ,Beth Macy
2018,In a Different Key ,John Donvan and Caren Zucker
2018,Mindset ,Carol Dweck
2018,Weapons of Math Destruction ,Cathy O’Neil
2018,The Generals ,Thomas Ricks
2018,Negotiating Opportunities ,Jessica McCrory Calarco
2018,"Promise Me, Dad ",Joe Biden
2018,Deep ,James Nestor
2018,Evicted ,Matthew Desmond
2018,On the Fire Line ,Matthew Desmond
2018,No Good Men Among the Living ,Anand Gopal
2018,Locking Up Our Own ,James Forman Jr.
2018,On Trails ,Robert Moor
2018,Custer's Trials ,T.J. Stiles
2018,Tides ,Jonathan White
2018,Left for Dead ,Beck Weathers
2018,Educational Goods ,"Harry Brighouse, et al."
2018,Paradise of the Pacific ,Susanna Moore
2018,Superforecasting ,Dan Gardner and Philip E. Tetlock
2018,Ghosts of K2 ,Mick Conefrey
2018,The Fifth Risk ,Michael Lewis
2018,Endure ,Alex Hutchinson
2018,Fire Season ,Phillip Connors
2018,The Evolution of Beauty ,Richard O. Prum
2017,Between the World and Me ,Ta-Nehisi Coates
2017,The Undoing Project ,MIchael Lewis
2017,Barbarian Days ,William Finnegan
2017,The Checklist Manifesto ,Atul Gawande
2017,Hillbilly Elegy ,J.D. Vance
2017,Quiet ,Susan Cain
2017,Sapiens ,Yuval Noah Harari
2017,There Are No Children Here ,Alex Kotlowitz
2017,The Sports Gene ,David Epstein
2017,~The Maroons of Jamaica ,Mavis Campbell
2017,Natural Born Heroes ,Christopher McDougall
2017,Tribe ,Sebastian Junger
2017,Pacific ,Simon Winchester
2017,Churchill & Orwell ,Thomas Ricks
2017,Black Flags ,Joby Warrick
2017,Age of Ambition ,Evan Osnos
2017,Encounters at the Heart of the World ,Elizabeth Fenn
2017,Grit ,Angela Duckworth
